,Product URL,Product Name,Product Price,Rating,Reviews,Description,ASIN,Manufacturer,Product Description
109,https://www.amazon.in/ADISA-SL5022-black-women-girls/dp/B07NPXWFXX/ref=sr_1_110?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-110,ADISA Women's & Girls' Sling Bag,₹495,4.1 out of 5 stars,"2,771",  Outer Material : PU / Synthetic Leather    Closure : Magnetic Button    No. of Compartments : 2    No. of Pockets : 1    Dimensions : LxWxH - 8.75 x 3 x 6 inches   ,-,-,-
110,https://www.amazon.in/Rabbit-Caramello-Backpack-Multi-Function-Waterproof/dp/B07FHXNPCH/ref=sr_1_111?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-111,"R for Rabbit Caramello Delight Diaper Bag Backpack -Multi-Function Waterproof Mother Bag for Travel with Baby - Large Capacity, Durable and Stylish.(Grey Black)","₹1,999",4.4 out of 5 stars,790,  High-Quality Water Resistant Material: Made of Strong Oxford Fabric with its reinforced shoulder straps will guarantee for long-term use.     Multi-Function: It is not just a Diaper Bag. It so trendy and fashionable that it can be used as Backpack for regular use. It can easily accommodate 15-inch laptop with all accessories.     Large Capacity: Comes with more than 9 Pockets it has a large capacity to hold everything that your little one needed for their daily use.; Insulated Pockets: Caramello Delight Diaper bag comes with Insulated Pockets to keep baby’s food at a perfect temperature for hours.     Comes with Changing Mat: Caramello Delight Diaper Bags comes with Changing Mat which becomes handy for mother when needed for diaper changing for the little one.; Closure Type: Zipper; Age Range Description: Adult     Pattern Name: Solid; Strap Type: Adjustable    , B07FHXNPCH ,-,"Unisex Fabric LaptopCompartment,Waterproof,WaterResistant 1 No 46.9x33.7x10cm;1.16Kilograms DBCMGB2 0monthsandup China 1kg160g "
111,https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96/ref=sr_1_112?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-112,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,₹395,3.9 out of 5 stars,216,"  Care Instructions: Wipe with Dry Cloth    Outer Material: Polyester, Color: Black    Water resistant    Capacity: 16 liters; Weight: 180 grams; Dimensions: 42 cms x 28 cms x 14 cms (LxWxH)    Number of compartments: 1    Laptop Compatibility: NoStrap Type: Yes    Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase   ",-,-,-
112,https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_113?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-113,"Trajectory Sigma Brown Elegant Vegan Leather Crossbody Messenger Office Bag for upto 15.6 Inch Laptop , MacBook , Notebook with Multiple Compartment Shoulder & Handbag for Men & Women with 2 Years Warranty","₹1,399",4.2 out of 5 stars,336,"  PREMIUM CRAFTSMANSHIP: Handmade by Professional Artisans, a Stylish messenger bag perfect for Office and Business professionals, students and travellers for Elite Class statement.    HIGH QUALITY MATERIAL: Made from Premium and Rich quality PU Leather Fabric with Durable Polyester lining.    ONE BAG FOUR STYLES: There are 4 different ways for using this laptop Messenegr bag. The adjustable shoulder strap could be easily adjusted to appropriate length to be a SHOULDER BAG or a CROSS-BODY BAG, the detachable designing of shoulder strap can be removed to make your bag as a business BRIEFCASE or a HANDBAG.    MULTIPLE COMPARTMENT: With 5 multi functional compartments, keep all your belongs well organized anytime. Additional laptop pocket with Thick Shock-Proof Foam Padding to protect upto 15.6 inches laptop. Dimension: 43* 34 * 8 cm .We are proud to say that this product is MADE IN INDIA!    GENUINE RUST FREE METAL HARDWARE: Messenger bag with solid and updated sturdy Rust Free hardware for zippers, buckles, closures and latches to ensure long lasting durability also this Product Comes with 2 years WARRANTY.   ",-,-,-
113,https://www.amazon.in/ADISA-SL5022-black-women-girls/dp/B07NPXWFXX/ref=sr_1_114?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-114,ADISA Women's & Girls' Sling Bag,₹495,4.1 out of 5 stars,"2,771",  Outer Material : PU / Synthetic Leather    Closure : Magnetic Button    No. of Compartments : 2    No. of Pockets : 1    Dimensions : LxWxH - 8.75 x 3 x 6 inches   ,-,-,-
114,https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_115?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-115,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"₹1,695",4.3 out of 5 stars,"3,183","  Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant; Dimensions: 36 cms x 13 cms x 50 cms (LxWxH)    Number of compartments: 3    Laptop Compatible: Fits up to 15.4 laptop    Light Weight    Note : Laptop compartment has no strap   ",-,-,-
115,https://www.amazon.in/Lavie-Broxa-Flap-Womens-Sling/dp/B08QTF8RPM/ref=sr_1_116?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-116,Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,"₹1,217",4.2 out of 5 stars,"5,531","  Lavie Broxa sling is a stylish carry for women. It is trendy, light weight, spacious and available in beautiful multiple colors. The bag is beautifully crafted from premium man-made leather with latest saffiano texture & wavy stitch pattern at the front. The bag has a well-stitched inner lining for easy accessibility and storage.    Dimension: 21.5 cm in length X 9 cm in width X 15 cm in height    Broxa sling bag has a flat bottom to keep your essentials intact. Interior has 1 main compartment, with a flap closure on top for safety. Inside the bags there is 1 slip pocket alongside 1 zip pocket, providing space for keeping your phone, portable charger, coins, sanitizer etc. The bag also has adjustable sling strap to carry it in various ways, fastened with gold toned hardware.    This sling is perfect for ladies to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with a playsuit, a basic crop top & jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions   ",-,-,-
116,https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_117?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-117,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),₹819,4.2 out of 5 stars,"1,481",  Meant for 15.6-inch laptops    Multiple compartments for additional accessories    Front big pocket for quick-access your essentials    Elegant and Lightweight Cross-dyed woven fabric    Finished in Stylish warm dark grey and stretch to shoulder strap    Laptop compartment fits up to 15.6 inch laptop with velcro laptop strip    ASUS reflective logo    1 Year hardware warranty provided by the manufacturer from date of purchase   , B0895ZZHKK ,"Asus, Shanghai Korrun Bag & Luggage Production Co. , Lt d ","ASUS Asus,ShanghaiKorrunBag&LuggageProductionCo.,Ltd BP1504 BP1504 30x11x43cm;385Grams BP1504 Laptopcompartment ASUSBP1504LaptopBackpack 15.6Inches No No Fabric Asus India 385g "
117,https://www.amazon.in/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174/ref=sr_1_118?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-118,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,₹664,4.1 out of 5 stars,"3,612","  Suitable for a short business trip or a quick weekend getaway. Size In inches?17""L*4.5""W*12.4""H. weight: 800grm    Laptop padding? The laptop padding fits 15.6 inch laptop for business travel. Other compartment fits 17inch Laptop. Large capacity and front and interior pockets organization for all your business needs.    Removable, adjustable padded shoulder strap    HIGH QUALITY MATERIAL: Made from Premium and Rich quality PU Leather Fabric with Durable Polyester lining.    PERFECT GIFT :With a mutlipurpose use and a classy distressed Vintage inspired look which never goes out of style , This bag is a great gift idea for Fathers Day , Birthdays , Valentines Day , Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift . Makes a great gift for professionals, artists , students and all sorts of officials. The bag can be used as a Leather messenger bag for men and women ,laptop bags briefcase , college bag, meeting bag, gift idea   ",-,-,-
118,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_119?crid=2M096C61O4MLT&keywords=bags&qid=1675344791&sr=8-119,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹2,079",4.5 out of 5 stars,"6,427","  Laptop Compatibility: Yes, Laptop Size: 17 inches    Outer Material: Polyester, Color: Black    Weight: 1.20 grams; Dimensions: 53 cms x 32 cms x 27 cms (LxWxH)    Number of compartments: 1; Warranty type: Manufacturer; 18 months    Closure Type: Zipper; Special Features: Back Padding; Pocket Description: Utility Pocket; Age Range Description: Adult   ",-,-,-
